ZIP,pop_density,urban
4236,134.7444,False
4237,24.44189,False
4238,69.79874,False
4239,99.47331,False
4240,1064.705,True
4250,349.0878,False
4252,434.0637,False
4253,53.90733,False
4254,157.7024,False
4255,19.24253,False
4256,265.5988,False
4257,112.8936,False
4258,87.26801,False
4259,101.1069,False
4260,119.2407,False
4261,2.016887,False
4263,50.68352,False
4265,162.9637,False
4267,40.48622,False
4268,108.8903,False
4270,81.86536,False
4271,0.0,False
4274,130.8547,False
4275,4.507868,False
4276,83.57973,False
4280,167.4668,False
4281,126.5012,False
4282,96.61543,False
4284,63.91005,False
4285,6.855046,False
4286,2550.588,True
4287,71.27522,False
4289,81.38179,False
4290,27.9583,False
4292,26.45049,False
4294,70.4155,False
4330,219.8155,False
4342,60.35649,False
4343,86.64051,False
4344,249.7771,False
4345,158.8871,False
4346,841.4011,False
4347,420.772,False
4348,40.73667,False
4349,38.72706,False
4350,96.63333,False
4351,120.2353,False
4352,43.27644,False
4353,50.73077,False
4354,38.75812,False
4355,87.3438,False
4357,110.2472,False
4358,85.41024,False
4359,704.3177,False
4360,21.36797,False
4363,74.1134,False
4364,194.6809,False
4401,449.0733,False
4406,7.74117,False
4408,1.740854,False
4410,27.77775,False
4411,34.5541,False
4412,613.1705,False
4413,3.775898,False
4414,4.36573,False
4415,170.6439,False
4416,94.78967,False
4417,4.339849,False
4418,11.14866,False
4419,76.40297,False
4421,172.8816,False
4422,31.56381,False
4424,6.169596,False
4426,29.47503,False
4427,69.28484,False
4428,55.78066,False
4429,65.59147,False
4430,211.8116,False
4431,134.3999,False
4434,52.76449,False
4435,25.95808,False
4438,44.57685,False
4441,3.687726,False
4442,0.5474294,False
4443,17.97886,False
4444,127.6273,False
4448,14.70782,False
4449,42.35438,False
4450,66.67692,False
4451,2.415712,False
4453,10.05646,False
4454,0.6067806,False
4455,11.41803,False
4456,97.51055,False
4457,35.32904,False
4459,10.51241,False
4460,11.35071,False
4461,68.96694,False
4462,4.074434,False
4463,19.42446,False
4464,3.159225,False
4468,78.63581,False
4469,11013.03,True
4471,6.821986,False
4472,45.43843,False
4473,443.3822,False
4474,148.6137,False
4475,18.42227,False
4476,31.89847,False
4478,0.7866045,False
4479,34.39078,False
4481,15.7885,False
4485,5.722435,False
4487,4.186002,False
4488,34.86722,False
4489,1624.723,True
4490,0.9848771,False
4491,9.657736,False
4492,4.064329,False
4493,28.79966,False
4495,12.99833,False
4496,106.6036,False
4497,1.622966,False
4530,377.3786,False
4535,31.72003,False
4537,120.5167,False
4538,367.4286,False
4539,70.08896,False
4541,71.75991,False
4543,164.7593,False
4544,214.4273,False
4547,74.16472,False
4548,59.94689,False
4551,56.72573,False
4553,62.09613,False
4554,212.2207,False
4555,82.2099,False
4556,60.97601,False
4558,60.97778,False
4562,68.60979,False
4563,76.99619,False
4564,33.52572,False
4568,94.51948,False
4570,0.0,False
4571,181.827,False
4572,70.11364,False
4573,58.82673,False
4574,37.46513,False
4575,95.82887,False
4576,123.3842,False
4578,133.6364,False
4579,87.3572,False
4605,46.25653,False
4606,25.66362,False
4607,26.92468,False
4609,125.3854,False
4611,73.53097,False
4612,81.98934,False
4613,75.45245,False
4614,40.84084,False
4616,44.29741,False
4617,30.60502,False
4619,88.51737,False
4622,5.624805,False
4623,8.022326,False
4624,21.02345,False
4625,23.19997,False
4626,10.5,False
4627,73.68216,False
4628,8.217535,False
4629,95.65328,False
4630,16.15573,False
4631,373.8976,False
4634,17.39886,False
4635,9.459809,False
4637,1.406031,False
4640,80.58263,False
4642,14.85588,False
4643,47.13303,False
4644,0.0,False
4645,5.031688,False
4646,79.71308,False
4648,13.33929,False
4649,44.50415,False
4650,37.19536,False
4652,29.82883,False
4653,165.4122,False
4654,32.76933,False
4655,55.02227,False
4657,3.016415,False
4658,60.01211,False
4660,44.65607,False
4662,240.1196,False
4664,30.39801,False
4666,18.00054,False
4667,53.7243,False
4668,17.44635,False
4669,70.35535,False
4671,18.05774,False
4673,57.75257,False
4674,75.01459,False
4675,78.30056,False
4676,43.93618,False
4677,66.34478,False
4679,134.6626,False
4680,24.86919,False
4681,128.6646,False
4683,19.45447,False
4684,40.62416,False
4685,27.30301,False
4686,0.7772103,False
4691,7.917203,False
4693,33.56602,False
4694,16.40664,False
4730,41.85184,False
4732,4.125297,False
4733,5.75842,False
4734,19.73941,False
4735,12.10665,False
4736,57.23008,False
4739,4.147346,False
4740,29.86064,False
4741,0.0,False
4742,44.60865,False
