zip,qualified,kw_total
19090,5628,109504.25
19094,988,11793.25
19095,991,25507.5
19096,2511,29672.5
19102,215,6738.75
19103,1651,26464.25
19104,4612,86573
19106,1102,28829.25
19107,914,27737.25
19108,1,390.5
19109,3,58.25
19110,3,90
19111,10937,121335.25
19112,303,28640
19113,76,19210.75
19114,6369,133696
19115,7795,125414.5
19116,6485,143833
19118,2009,27142.5
19119,4821,35137.5
19120,6086,65926.5
19121,5961,59320.25
19122,2899,53822.75
19123,2417,56209.75
19124,7649,139874.5
19125,4917,42140.25
19126,2172,17152.5
19127,1830,17074.5
19128,8776,78345
19129,1621,40936.75
19130,3810,42015.25
19131,4590,62863
19132,5157,52623.75
19133,3545,34697.25
19134,7551,111078
19135,4824,48235.5
19136,4135,89610.25
19137,1852,53291.75
19138,4256,29465.25
19139,4874,42628
19140,6871,87610.75
19141,3528,34686.25
19142,2701,25252
19143,7093,58824
19144,6860,72495.75
19145,6147,89097.75
19146,6749,61414.75
19147,6785,52305.25
19148,7885,125223.75
19149,4602,41085.5
19150,3872,22946.25
19151,3518,27425.5
19152,7044,61766.25
19153,3186,103299.75
19154,6392,158116.75
19176,5,5016.5
19301,1573,32757.5
19311,63,1749.75
19312,3068,50426.25
19317,2735,48321.25
19319,38,354.25
19333,1306,25557.25
19335,133,1913.25
19341,2788,92223.5
19342,4738,101275.25
19345,4,652.5
19348,257,4013
19350,1032,17248.75
19355,5924,156466.5
19373,823,16230
19380,11706,225549.75
19382,11273,206642.5
19383,35,4256
19401,8676,124377.75
19403,12157,224389
19405,1280,17225
19406,6012,212857.75
19422,5551,106429.75
19423,28,469
19426,11226,176832.25
19428,4758,121166.25
19436,40,1178.25
19437,18,182.25
19438,6770,129024
19440,4612,122640.5
19444,2809,35164.75
19446,14139,259041
19453,358,5295
19454,7130,158801.25
19460,8766,167589.5
19462,4463,95029.75
19464,48,1333.75
19468,6276,119955.75
19473,5116,69415
19475,455,8362
19477,136,1831
19492,99,2812.75
19506,59,734.5
19508,1567,24370.5
19510,2369,47014
19522,2740,44373
19525,59,703.5
19533,989,34603
19539,681,9839.5
19540,1172,15013
19541,139,1503.75
19547,79,1258.25
19555,36,2064.75
19560,2329,41212.5
19565,1,38.5
19601,6056,84161.5
19602,2941,38899.25
19604,4723,46605.5
19605,6378,208524.5
19606,8575,124169
19607,5703,77288.5
19608,4371,73523
19609,3403,38636.75
19610,4345,106221.75
19611,2112,41518.75
19612,3,1767.75
19701,11032,180051.5
19702,11070,201679.75
19703,1472,18666.75
19706,595,7574
19707,4587,66311.25
19709,32,1200.25
19711,9803,182520.75
19713,7152,166190.5
19716,168,11800.75
19717,100,5982.25
19718,14,1609.25
19720,16956,426329
19721,2,445.5
19732,17,454
19735,2,89.25
19736,3,30.5
19801,2983,103857.5
19802,4568,76939
19803,6014,106863.75
19804,6117,93769.75
19805,8740,99388
19806,2049,23614
19807,2459,46067.25
19808,11188,170368
19809,3274,46511
19810,6234,89287.25
19884,2,753.5
19890,1,304.25
19895,2,247.5
19898,2,124.75
19901,9146,180925
19902,150,21281.5
19904,8047,132394.25
19931,37,251.25
19933,2,33.5
19934,3696,51194.75
19936,26,444.25
19940,650,15138.75
19943,732,7768.75
19946,329,4092.75
19956,1315,32717.5
19962,3071,32504.75
19973,3169,72873.5
19979,334,4084.25
19980,89,974.25
20001,3636,40354
20002,6154,86321.5
20003,1946,31690.25
20005,380,6394.75
20006,26,3290.5
20007,4317,49371
20008,2580,43813.75
20009,3251,41021
20010,3021,27065.75
20011,10516,88069.5
20012,3214,29683.5
20015,3173,28510.5
20016,5532,63204.25
20017,3848,40947.75
20018,4273,79798.25
20019,8442,98498
20020,6312,78296
20024,42,2857.75
20032,4844,93381
20036,328,12654.25
20037,256,9649.5
20052,3,573
20059,29,2474.5
20064,59,4779.75
20120,7905,95192.5
20121,2732,38801
20124,1025,13575
20147,127,13395
20148,1598,24102.75
20151,5396,224575.75
20152,3304,50985.5
20164,4018,63311.25
20166,1415,192492.75
20170,8028,133257.5
20171,9095,163054.5
20190,1312,58550.75
20191,2552,67197
20194,2177,24422
20242,1,21
20303,0,
20307,19,4110.5
20310,34,4588.25
20319,45,2040.25
20373,42,5770.5
20390,4,229
20392,19,425.25
20418,11,104
20422,2,5.5
20427,1,469.5
20520,3,214
20532,3,201.25
20542,12,1053.25
20554,5,925.5
20566,1,1546
20593,1,2
20598,93,20701
20701,15,8099.25
20705,5919,188139.5
20706,3003,92714.75
20707,6194,137441.5
20708,3576,77197.25
20712,528,5715.25
20715,2019,29925
20720,6459,73350.25
20721,6065,79220.75
20722,15,2180.25
20723,5724,112766
20724,2931,49914
20726,17,4985
20740,1833,30446.25
20742,20,2569.75
20743,1798,30931
20745,327,8066.75
20746,206,3279.25
20748,28,1221.25
20755,954,48967.25
20759,414,10347
20763,514,39876
20769,1857,28682.75
20770,689,20513.25
20772,1917,24344
20774,10035,157655.75
20777,2,10.5
20781,2,171
20782,351,3921.75
20783,1516,25119.5
20794,2396,169064.5
20814,2036,28301
20815,1064,12609.75
20816,498,4772
20817,3151,55017
20841,1551,20338
20850,8025,209093
20851,2201,26441.75
20852,4949,140635.75
20853,3802,43292.5
20854,10620,148722.75
20855,2983,54709
20866,2120,39703
20868,90,1678.25
20874,9044,123325.5
20876,2272,35759.25
20877,3951,124048.75
20878,10414,159847
20879,4808,99883.5
20880,51,292.5
20882,300,3920.25
20886,3862,59719.25
20889,19,111
20892,7,1107
20895,3721,47313
20896,93,547
20898,4,249.75
20899,19,1541
20901,4922,46770.25
20902,7371,81574.25
20903,1601,30063.5
20904,8149,154178.5
20905,2988,34514.25
20906,7812,102115.5
20910,2117,37155.25
20912,403,4908.5
21012,1915,20614.25
21022,6,153.5
21032,502,5916.25
21042,6445,87802.5
21043,9917,134856.5
21044,1069,23521.5
21045,6627,134546.75
21046,1985,122108
21052,177,2230
21054,999,14019
21056,115,1292
21057,387,4724.25
21060,8450,156914.75
21061,11430,220583.25
21075,6704,204392.25
21076,3888,195509.5
21077,186,7467
21087,585,8056.75
21090,3956,110354.25
21093,7369,132992.5
21104,6,60
21108,4117,71251.25
21113,5578,113211
21117,9084,190969
21122,15280,185576.25
21128,3896,45064.5
21133,7658,105047.75
21136,1188,16060.5
21144,8106,114164.75
21146,4688,64545.25
21153,135,4285.75
21156,23,273.25
21162,1521,28887.25
21163,690,8418.25
21201,2439,75220.5
21202,3646,88699.25
21204,4048,97115
21205,5820,79578.5
21206,12269,109594.75
21207,11044,150607
21208,8208,156012
21209,5715,100862
21210,2289,46500.25
21211,6202,77596.75
